Rank,Player,Team,FantasyPts
505,Devin Duvernay,CHI,8.6
506,Dante Pettis,NO,8.5
507,Kevin Austin Jr,NO,8.4
508,Ben Sims,GB,7.9
509,Brashard Smith,KC,7.2
510,DeeJay Dallas,ARZ,7.1
511,Damien Martinez,SEA,7.1
512,Robbie Ouzts,SEA,6.9
513,Tyler Goodson,IND,6.6
514,Raheem Blackshear,CAR,6.4
515,Chris Blair,ATL,6.3
516,Travis Homer,CHI,6
517,Sione Vaki,DET,6
518,Reggie Gilliam,BUF,5.9
519,Jakob Johnson,HST,5.7
520,Avery Williams,PHI,5.7
521,Patrick Ricard,BLT,5.7
522,John Stephens Jr,DAL,5.5
523,Nikko Remigio,KC,5.4
524,Skyy Moore,KC,5.4
525,Eric Gray,NYG,5.2
526,Ross Dwelley,SF,5.2
527,Erik Ezukanma,MIA,5.1
528,Ko Kieft,TB,5.1
529,Collin Johnson,LV,5
530,Will Mallory,IND,4.9
531,Blake Whiteheart,CLV,4.7
532,Teagan Quitoriano,ATL,4.7
533,Terrace Marshall Jr,PHI,4.5
534,Jaheim Bell,NE,4.5
535,Mitchell Evans,CAR,4.5
536,Tai Felton,MIN,3.8
537,KJ Osborn,WAS,2.8
538,Anthony Miller,BLT,2.8
539,David Bell,CLV,2.7
540,Tahj Brooks,CIN,2.1
541,Patrick Taylor,SF,0
542,Kene Nwangwu,NYJ,0
543,Pierre Strong Jr,CLV,0
544,Dameon Pierce,HST,0
545,Tyler Badie,DEN,0
546,Rasheen Ali,BLT,0
547,Chris Collier,LV,0
548,Britain Covey,LA,0
549,Mecole Hardman Jr,GB,0
550,Braxton Berrios,HST,0
551,James Proche II,TEN,0
552,Bo Melton,GB,0
553,Tim Jones,MIN,0
554,Jalen Reagor,LAC,0
555,Dylan Drummond,ATL,0
556,Kazmeir Allen,WAS,0
557,Tom Kennedy,DET,0
558,Anthony Gould,IND,0
559,Trey Palmer,TB,0
560,Jha'Quan Jackson,TEN,0
561,Javon Baker,NE,0
562,Rakim Jarrett,TB,0
