player_name,team,position,adp,min_draft_position,max_draft_position,bye_week,is_bye_week5,is_bye_week6,is_bye_week7,is_bye_week8,is_bye_week9,is_bye_week10,is_bye_week11,is_bye_week12,is_bye_week14,is_qb_eligible,is_rb_eligible,is_wr_eligible,is_te_eligible,is_flex_eligible,pff_ppr_projected_points,numberfire_ppr_projected_points,rotoballer_ppr_projected_points,athletic_ppr_projected_points,athletic_half_projected_points,athletic_std_projected_points,week11_actual_ppr_points
Jacory Croskey-Merritt,WAS,RB,95.83,73,126,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,154.3895047,154.3895047,143,165.7790094,156.56854,147.3580705,89.6
Mark Andrews,BAL,TE,97.46,57,126,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,154.8,197.4,179,180.7821125,149.2670091,117.7519057,99.9
Chris Godwin,TB,WR,97.55,73,137,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,197.7,213.3,178,184.5637912,150.8103546,117.0569181,11.2
Evan Engram,DEN,TE,100.04,73,127,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,150.2,134.2,163,164.6937589,131.5961386,98.49851819,64.7
Javonte Williams,DAL,RB,101.53,59,125,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,158.2,164.1,154,185.5035601,168.1662818,150.8290034,170.2
David Njoku,CLE,TE,105.04,81,136,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,174.4,182.3,173,188.6522492,150.8158575,112.9794657,76.8
Christian Kirk,HOU,WR,107.4,85,130,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,191.8,126.7,140,163.8754114,132.6997444,101.5240773,46.8
Cam Skattebo,NYG,RB,108.63,93,130,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,157.6,114.4,143.2186339,157.6559018,142.049207,126.4425123,127.7
Braelon Allen,NYJ,RB,111.6,85,141,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83.7,87.87493544,98,81.92480631,79.99901924,78.07323217,17.3
Darnell Mooney,ATL,WR,111.84,87,138,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,182,172.2,166,193.7519964,160.0442726,126.3365488,38.4
Marvin Mims Jr,DEN,WR,113.29,79,145,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,158.5,198.9,154,189.4889823,155.4694164,121.4498504,63
Tucker Kraft,GB,TE,113.57,79,141,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,153.2,121.6,146.7336206,165.4008617,135.4369375,105.4730133,117.2
Trey Benson,ARZ,RB,114.13,90,139,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,108.5,101.5,112,97.52629962,92.32453022,87.12276082,35.4
Jayden Reed,GB,WR,115.14,88,155,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,187.7,184.6,163,170.6021273,143.7300583,116.8579893,13.5
Austin Ekeler,WAS,RB,116.16,78,145,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,147.6,180.4,165.6741136,169.0223409,145.3454148,121.6684888,13.1
Bhayshul Tuten,JAX,RB,117.1,96,144,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,62.9,77.00102311,95,73.10306932,64.66021359,56.21735787,61.9
Brian Robinson,SF,RB,117.96,77,159,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,170,141.8,77,78.74751304,76.6772768,74.60704056,45.7
Quinshon Judkins,CLE,RB,118.9,92,167,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,219.1,156.0030308,123,125.9090924,119.7178052,113.526518,113
Jayden Higgins,HOU,WR,119.4,99,150,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,116.6,150.2886227,142,192.265868,159.4335818,126.6012956,80.4
Ollie Gordon II,MIA,RB,119.72,88,149,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,109.6639179,109.6639179,76,143.3278359,139.6367887,135.9457416,43.4
Rashid Shaheed,SEA,WR,120.07,99,149,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,181.5,191.8,168,176.4591439,145.1276198,113.7960956,114.6
Colston Loveland,CHI,TE,121.39,61,149,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,158.8,132.0834669,126,111.4504008,88.80178677,66.15317278,68.9
Kyler Murray,ARZ,QB,123.37,83,156,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,277.8,323.7,295,305.4935301,305.4935301,305.4935301,82.8
Keenan Allen,LAC,WR,123.45,86,156,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,147.2319831,147.2319831,139,155.4639662,124.9209473,94.37792841,139.2
Rhamondre Stevenson,NE,RB,123.95,98,160,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,169.6,107.2,141,116.3762232,107.8594801,99.34273699,78.8
Najee Harris,LAC,RB,124.83,94,152,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,95,142,111.9174107,98.75223196,93.92020871,89.08818546,11.6
Jaydon Blue,DAL,RB,125.05,98,155,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,110,120.5296958,116,135.5890875,121.9406047,108.2921219,8
Dylan Sampson,CLE,RB,125.53,97,168,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,101,129.3,113,147.9566501,133.8243641,119.6920781,47.2
Tank Bigsby,PHI,RB,125.56,97,154,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,118.3,113,111,96.06894561,91.98012804,87.89131048,17.7
Luther Burden III,CHI,WR,125.99,98,164,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,98.5,114.7806597,122,123.8419791,100.6419081,77.44183707,50.5
Nick Chubb,HOU,RB,126.84,77,153,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,72.4,100.287003,103,125.4610091,120.9960453,116.5310815,73.3
Brock Purdy,SF,QB,128.99,88,186,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,288.3,306.1,301,307.6393925,307.6393925,307.6393925,57.7
Brandon Aiyuk,SF,WR,130.57,98,182,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,195.6,147.5796479,137,110.1389438,92.28243538,74.42592699,0
Jared Goff,DET,QB,130.75,89,181,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,276,313.3,272,289.1725922,289.1725922,289.1725922,181.8
Rashod Bateman,BAL,WR,132.29,97,159,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,145.2,139.2,148,128.2854999,107.4666911,86.64788227,47.4
Jake Ferguson,DAL,TE,133.5,98,163,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,146.3,150.4,148,177.9960175,142.7492813,107.5025452,142
Ray Davis,BUF,RB,133.63,74,162,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,102.6,84.1,97,101.2604906,97.06459424,92.86869783,16.2
Hollywood Brown,KC,WR,133.83,102,163,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,157.8,146.1,140,81.27635347,67.31134428,53.3463351,104.9
Drake Maye,NE,QB,134.17,94,174,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,249.3,267.9531842,262,292.5595525,292.5595525,292.5595525,228.9
Caleb Williams,CHI,QB,134.85,96,170,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,240.2,275,270,313.3672234,313.3672234,313.3672234,186.4
Cedric Tillman,CLE,WR,135.15,109,166,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,189.5,139.6,158,178.2448704,145.5992897,112.9537091,44.9
Dalton Kincaid,BUF,TE,139.7,105,179,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,150,142.7,144,148.1798092,119.9335627,91.68731618,97.8
Justin Fields,NYJ,QB,143.86,100,197,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,277.8,285.5,287,333.8519458,333.8519458,333.8519458,139.7
DeMario Douglas,NE,WR,143.95,99,183,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,144.5,148.4947166,145,155.9841497,124.0463631,92.10857655,74.4
Tyler Allgeier,ATL,RB,144.45,107,176,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,101.7,101.8564888,107,96.86946643,91.77415796,86.6788495,79.6
